詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
高處不勝寒,ㄍㄠ ㄔㄨˋ ㄅㄨˋ ㄕㄥ ㄏㄢˊ,ㄍㄠ ㄔㄨˇ ㄅㄨˋ ㄕㄥˋ ㄏㄢˊ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1); 勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
皋比,ㄍㄠ ㄆㄧˊ,ㄍㄠ ㄅㄧˇ,比:ㄅㄧˇ→ㄆㄧˊ(字型無此讀音),字型缺讀音,
皋陶,ㄍㄠ ㄧㄠˊ,ㄍㄠ ㄊㄠˊ,陶:ㄊㄠˊ→ㄧㄠˊ(IVS+1),IVS可修,
稿子,ㄍㄠˇ ˙ㄗ,ㄍㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
告老還鄉,ㄍㄠˋ ㄌㄠˇ ㄏㄨㄢˊ ㄒㄧㄤ,ㄍㄠˋ ㄌㄠˇ ㄏㄞˊ ㄒㄧㄤ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
告假,ㄍㄠˋ ㄐㄧㄚˋ,ㄍㄠˋ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
鉤子,ㄍㄡ ˙ㄗ,ㄍㄡ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
狗腿子,ㄍㄡˇ ㄊㄨㄟˇ ˙ㄗ,ㄍㄡˇ ㄊㄨㄟˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
狗拿耗子,ㄍㄡˇ ㄋㄚˊ ㄏㄠˋ ˙ㄗ,ㄍㄡˇ ㄋㄚˊ ㄏㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
勾當,ㄍㄡˋ ㄉㄤˋ,ㄍㄡ ㄉㄤ,勾:ㄍㄡ→ㄍㄡˋ(IVS+1); 當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
句當,ㄍㄡˋ ㄉㄤˋ,ㄐㄩˋ ㄉㄤ,句:ㄐㄩˋ→ㄍㄡˋ(IVS+2); 當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
夠面子,ㄍㄡˋ ㄇㄧㄢˋ ˙ㄗ,ㄍㄡˋ ㄇㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
肝膽相照,ㄍㄢ ㄉㄢˇ ㄒㄧㄤ ㄓㄠˋ,ㄍㄢ ㄉㄢˇ ㄒㄧㄤˋ ㄓㄠˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
竿子,ㄍㄢ ˙ㄗ,ㄍㄢ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
乾親家,ㄍㄢ ㄑㄧㄥˋ ㄐㄧㄚ,ㄍㄢ ㄑㄧㄣ ㄐㄧㄚ,親:ㄑㄧㄣ→ㄑㄧㄥˋ(IVS+1),IVS可修,
乾著急,ㄍㄢ ㄓㄠ ㄐㄧˊ,ㄍㄢ ˙ㄓㄜ ㄐㄧˊ,著:˙ㄓㄜ→ㄓㄠ(IVS+2),IVS可修,
乾兒子,ㄍㄢ ㄦˊ ˙ㄗ,ㄍㄢ ㄦˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
感應,ㄍㄢˇ ㄧㄥˋ,ㄍㄢˇ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
跟頭,ㄍㄣ ˙ㄊㄡ,ㄍㄣ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
剛正不阿,ㄍㄤ ㄓㄥˋ ㄅㄨˋ ㄜ,ㄍㄤ ㄓㄥˋ ㄅㄨˋ ㄚ,阿:ㄚ→ㄜ(IVS+1),IVS可修,
崗哨,ㄍㄤˇ ㄕㄠˋ,ㄍㄤ ㄕㄠˋ,崗:ㄍㄤ→ㄍㄤˇ(IVS+1),IVS可修,
崗位,ㄍㄤˇ ㄨㄟˋ,ㄍㄤ ㄨㄟˋ,崗:ㄍㄤ→ㄍㄤˇ(IVS+1),IVS可修,
港都,ㄍㄤˇ ㄉㄨ,ㄍㄤˇ ㄉㄡ,都:ㄉㄡ→ㄉㄨ(IVS+1),IVS可修,
更名,ㄍㄥ ㄇㄧㄥˊ,ㄍㄥˋ ㄇㄧㄥˊ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更迭,ㄍㄥ ㄉㄧㄝˊ,ㄍㄥˋ ㄉㄧㄝˊ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更動,ㄍㄥ ㄉㄨㄥˋ,ㄍㄥˋ ㄉㄨㄥˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更替,ㄍㄥ ㄊㄧˋ,ㄍㄥˋ ㄊㄧˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更年期,ㄍㄥ ㄋㄧㄢˊ ㄑㄧˊ,ㄍㄥˋ ㄋㄧㄢˊ ㄑㄧˊ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更改,ㄍㄥ ㄍㄞˇ,ㄍㄥˋ ㄍㄞˇ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更換,ㄍㄥ ㄏㄨㄢˋ,ㄍㄥˋ ㄏㄨㄢˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更新,ㄍㄥ ㄒㄧㄣ,ㄍㄥˋ ㄒㄧㄣ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更新換代,ㄍㄥ ㄒㄧㄣ ㄏㄨㄢˋ ㄉㄞˋ,ㄍㄥˋ ㄒㄧㄣ ㄏㄨㄢˋ ㄉㄞˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更張,ㄍㄥ ㄓㄤ,ㄍㄥˋ ㄓㄤ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更正,ㄍㄥ ㄓㄥˋ,ㄍㄥˋ ㄓㄥˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更衣,ㄍㄥ ㄧ,ㄍㄥˋ ㄧ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
更易,ㄍㄥ ㄧˋ,ㄍㄥˋ ㄧˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
耕種,ㄍㄥ ㄓㄨㄥˋ,ㄍㄥ ㄓㄨㄥˇ,種:ㄓㄨㄥˇ→ㄓㄨㄥˋ(IVS+1),IVS可修,
哽咽,ㄍㄥˇ ㄧㄝˋ,ㄍㄥˇ ㄧㄢ,咽:ㄧㄢ→ㄧㄝˋ(IVS+1),IVS可修,
梗塞,ㄍㄥˇ ㄙㄜˋ,ㄍㄥˇ ㄙㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
更生保護,ㄍㄥ ㄕㄥ ㄅㄠˇ ㄏㄨˋ,ㄍㄥˋ ㄕㄥ ㄅㄠˇ ㄏㄨˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
姑姑,ㄍㄨ ˙ㄍㄨ,ㄍㄨ ㄍㄨ,姑:ㄍㄨ→˙ㄍㄨ(IVS+1),IVS可修,
呱呱,ㄍㄨ ㄍㄨ,ㄍㄨㄚ ㄍㄨㄚ,呱:ㄍㄨㄚ→ㄍㄨ(IVS+2); 呱:ㄍㄨㄚ→ㄍㄨ(IVS+2),IVS可修,
呱呱墜地,ㄍㄨ ㄍㄨ ㄓㄨㄟˋ ㄉㄧˋ,ㄍㄨㄚ ㄍㄨㄚ ㄓㄨㄟˋ ㄉㄧˋ,呱:ㄍㄨㄚ→ㄍㄨ(IVS+2); 呱:ㄍㄨㄚ→ㄍㄨ(IVS+2),IVS可修,
骨碌,ㄍㄨ ㄌㄨˋ,ㄍㄨˇ ㄌㄨˋ,骨:ㄍㄨˇ→ㄍㄨ(IVS+1),IVS可修,
轂轆,ㄍㄨ ㄌㄨˋ,ㄍㄨˇ ㄌㄨˋ,轂:ㄍㄨˇ→ㄍㄨ(IVS+1),IVS可修,
骨頭,ㄍㄨˊ ˙ㄊㄡ,ㄍㄨˇ ㄊㄡˊ,骨:ㄍㄨˇ→ㄍㄨˊ(IVS+2); 頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
鈷鉧,ㄍㄨˇ ㄇㄨˇ,ㄍㄨ ㄇㄨˇ,鈷:ㄍㄨ→ㄍㄨˇ(IVS+1),IVS可修,
汩沒,ㄍㄨˇ ㄇㄛˋ,ㄍㄨˇ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
骨子,ㄍㄨˇ ˙ㄗ,ㄍㄨˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
穀子,ㄍㄨˇ ˙ㄗ,ㄍㄨˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
告朔,ㄍㄨˋ ㄕㄨㄛˋ,ㄍㄠˋ ㄕㄨㄛˋ,告:ㄍㄠˋ→ㄍㄨˋ(IVS+1),IVS可修,
估衣,ㄍㄨˋ ㄧ,ㄍㄨ ㄧ,估:ㄍㄨ→ㄍㄨˋ(IVS+1),IVS可修,
顧不得,ㄍㄨˋ ㄅㄨˋ ˙ㄉㄜ,ㄍㄨˋ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
瓜葛,ㄍㄨㄚ ㄍㄜˊ,ㄍㄨㄚ ㄍㄜˇ,葛:ㄍㄜˇ→ㄍㄜˊ(IVS+1),IVS可修,
刮目相看,ㄍㄨㄚ ㄇㄨˋ ㄒㄧㄤ ㄎㄢˋ,ㄍㄨㄚ ㄇㄨˋ ㄒㄧㄤˋ ㄎㄢˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
