詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
栽跟頭,ㄗㄞ ㄍㄣ ˙ㄊㄡ,ㄗㄞ ㄍㄣ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
栽種,ㄗㄞ ㄓㄨㄥˋ,ㄗㄞ ㄓㄨㄥˇ,種:ㄓㄨㄥˇ→ㄓㄨㄥˋ(IVS+1),IVS可修,
在行,ㄗㄞˋ ㄏㄤˊ,ㄗㄞˋ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
遭難,ㄗㄠ ㄋㄢˋ,ㄗㄠ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
鑿子,ㄗㄠˊ ˙ㄗ,ㄗㄠˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
棗子,ㄗㄠˇ ˙ㄗ,ㄗㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
走馬換將,ㄗㄡˇ ㄇㄚˇ ㄏㄨㄢˋ ㄐㄧㄤˋ,ㄗㄡˇ ㄇㄚˇ ㄏㄨㄢˋ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
奏樂,ㄗㄡˋ ㄩㄝˋ,ㄗㄡˋ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
曾祖,ㄗㄥ ㄗㄨˇ,ㄘㄥˊ ㄗㄨˇ,曾:ㄘㄥˊ→ㄗㄥ(IVS+1),IVS可修,
曾祖母,ㄗㄥ ㄗㄨˇ ㄇㄨˇ,ㄘㄥˊ ㄗㄨˇ ㄇㄨˇ,曾:ㄘㄥˊ→ㄗㄥ(IVS+1),IVS可修,
曾祖父,ㄗㄥ ㄗㄨˇ ㄈㄨˋ,ㄘㄥˊ ㄗㄨˇ ㄈㄨˋ,曾:ㄘㄥˊ→ㄗㄥ(IVS+1),IVS可修,
曾孫,ㄗㄥ ㄙㄨㄣ,ㄘㄥˊ ㄙㄨㄣ,曾:ㄘㄥˊ→ㄗㄥ(IVS+1),IVS可修,
憎惡,ㄗㄥ ㄨˋ,ㄗㄥ ㄜˋ,惡:ㄜˋ→ㄨˋ(IVS+1),IVS可修,
增長,ㄗㄥ ㄓㄤˇ,ㄗㄥ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
卒子,ㄗㄨˊ ˙ㄗ,ㄗㄨˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
族長,ㄗㄨˊ ㄓㄤˇ,ㄗㄨˊ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
阻塞,ㄗㄨˇ ㄙㄜˋ,ㄗㄨˇ ㄙㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
組長,ㄗㄨˇ ㄓㄤˇ,ㄗㄨˇ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
作料,ㄗㄨㄛˊ ㄌㄧㄠˋ,ㄗㄨㄛˋ ㄌㄧㄠˋ,作:ㄗㄨㄛˋ→ㄗㄨㄛˊ(IVS+1),IVS可修,
左撇子,ㄗㄨㄛˇ ㄆㄧㄝˇ ˙ㄗ,ㄗㄨㄛˇ ㄆㄧㄝˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
坐月子,ㄗㄨㄛˋ ㄩㄝˋ ˙ㄗ,ㄗㄨㄛˋ ㄩㄝˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
做生意,ㄗㄨㄛˋ ㄕㄥ ˙ㄧ,ㄗㄨㄛˋ ㄕㄥ ㄧˋ,意:ㄧˋ→˙ㄧ(字型無此讀音),字型缺讀音,
嘴皮子,ㄗㄨㄟˇ ㄆㄧˊ ˙ㄗ,ㄗㄨㄟˇ ㄆㄧˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
鑽戒,ㄗㄨㄢˋ ㄐㄧㄝˋ,ㄗㄨㄢ ㄐㄧㄝˋ,鑽:ㄗㄨㄢ→ㄗㄨㄢˋ(IVS+1),IVS可修,
鑽石,ㄗㄨㄢˋ ㄕˊ,ㄗㄨㄢ ㄕˊ,鑽:ㄗㄨㄢ→ㄗㄨㄢˋ(IVS+1),IVS可修,
鑽子,ㄗㄨㄢˋ ˙ㄗ,ㄗㄨㄢ ㄗˇ,鑽:ㄗㄨㄢ→ㄗㄨㄢˋ(IVS+1); 子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
尊長,ㄗㄨㄣ ㄓㄤˇ,ㄗㄨㄣ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
鱒魚,ㄗㄨㄣ ㄩˊ,ㄗㄨㄣˋ ㄩˊ,鱒:ㄗㄨㄣˋ→ㄗㄨㄣ(IVS+1),IVS可修,
縱隊,ㄗㄨㄥ ㄉㄨㄟˋ,ㄗㄨㄥˋ ㄉㄨㄟˋ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
縱谷,ㄗㄨㄥ ㄍㄨˇ,ㄗㄨㄥˋ ㄍㄨˇ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
縱貫,ㄗㄨㄥ ㄍㄨㄢˋ,ㄗㄨㄥˋ ㄍㄨㄢˋ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
縱橫,ㄗㄨㄥ ㄏㄥˊ,ㄗㄨㄥˋ ㄏㄥˊ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
縱走,ㄗㄨㄥ ㄗㄡˇ,ㄗㄨㄥˋ ㄗㄡˇ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
總行,ㄗㄨㄥˇ ㄏㄤˊ,ㄗㄨㄥˇ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
從犯,ㄗㄨㄥˋ ㄈㄢˋ,ㄘㄨㄥˊ ㄈㄢˋ,從:ㄘㄨㄥˊ→ㄗㄨㄥˋ(IVS+1),IVS可修,
綜合銀行,ㄗㄨㄥˋ ㄏㄜˊ ㄧㄣˊ ㄏㄤˊ,ㄗㄨㄥˋ ㄏㄜˊ ㄧㄣˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
伺候,ㄘˋ ㄏㄡˋ,ㄙˋ ㄏㄡˋ,伺:ㄙˋ→ㄘˋ(IVS+1),IVS可修,
測量,ㄘㄜˋ ㄌㄧㄤˊ,ㄘㄜˋ ㄌㄧㄤˋ,量:ㄌㄧㄤˋ→ㄌㄧㄤˊ(IVS+1),IVS可修,
策應,ㄘㄜˋ ㄧㄥˋ,ㄘㄜˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
猜度,ㄘㄞ ㄉㄨㄛˋ,ㄘㄞ ㄉㄨˋ,度:ㄉㄨˋ→ㄉㄨㄛˋ(IVS+1),IVS可修,
裁量,ㄘㄞˊ ㄌㄧㄤˊ,ㄘㄞˊ ㄌㄧㄤˋ,量:ㄌㄧㄤˋ→ㄌㄧㄤˊ(IVS+1),IVS可修,
操行,ㄘㄠ ㄒㄧㄥˋ,ㄘㄠ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄒㄧㄥˋ(IVS+2),IVS可修,
草率,ㄘㄠˇ ㄕㄨㄞˋ,ㄘㄠˇ ㄌㄩˋ,率:ㄌㄩˋ→ㄕㄨㄞˋ(IVS+1),IVS可修,
草草了事,ㄘㄠˇ ㄘㄠˇ ㄌㄧㄠˇ ㄕˋ,ㄘㄠˇ ㄘㄠˇ ˙ㄌㄜ ㄕˋ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
參與,ㄘㄢ ㄩˋ,ㄘㄢ ㄩˇ,與:ㄩˇ→ㄩˋ(IVS+1),IVS可修,
慘綠少年,ㄘㄢˇ ㄌㄩˋ ㄕㄠˋ ㄋㄧㄢˊ,ㄘㄢˇ ㄌㄩˋ ㄕㄠˇ ㄋㄧㄢˊ,少:ㄕㄠˇ→ㄕㄠˋ(IVS+1),IVS可修,
參差,ㄘㄣ ㄘ,ㄘㄢ ㄔㄚ,參:ㄘㄢ→ㄘㄣ(IVS+2); 差:ㄔㄚ→ㄘ(IVS+2),IVS可修,
參差不齊,ㄘㄣ ㄘ ㄅㄨˋ ㄑㄧˊ,ㄘㄢ ㄔㄚ ㄅㄨˋ ㄑㄧˊ,參:ㄘㄢ→ㄘㄣ(IVS+2); 差:ㄔㄚ→ㄘ(IVS+2),IVS可修,
倉卒,ㄘㄤ ㄘㄨˋ,ㄘㄤ ㄗㄨˊ,卒:ㄗㄨˊ→ㄘㄨˋ(IVS+1),IVS可修,
藏頭露尾,ㄘㄤˊ ㄊㄡˊ ㄌㄡˋ ㄨㄟˇ,ㄘㄤˊ ㄊㄡˊ ㄌㄨˋ ㄨㄟˇ,露:ㄌㄨˋ→ㄌㄡˋ(IVS+1),IVS可修,
粗率,ㄘㄨ ㄕㄨㄞˋ,ㄘㄨ ㄌㄩˋ,率:ㄌㄩˋ→ㄕㄨㄞˋ(IVS+1),IVS可修,
醋罈子,ㄘㄨˋ ㄊㄢˊ ˙ㄗ,ㄘㄨˋ ㄊㄢˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
攢眉,ㄘㄨㄢˊ ㄇㄟˊ,ㄗㄢˇ ㄇㄟˊ,攢:ㄗㄢˇ→ㄘㄨㄢˊ(IVS+1),IVS可修,
村長,ㄘㄨㄣ ㄓㄤˇ,ㄘㄨㄣ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
忖度,ㄘㄨㄣˇ ㄉㄨㄛˋ,ㄘㄨㄣˇ ㄉㄨˋ,度:ㄉㄨˋ→ㄉㄨㄛˋ(IVS+1),IVS可修,
從容,ㄘㄨㄥ ㄖㄨㄥˊ,ㄘㄨㄥˊ ㄖㄨㄥˊ,從:ㄘㄨㄥˊ→ㄘㄨㄥ(IVS+3),IVS可修,
從容不迫,ㄘㄨㄥ ㄖㄨㄥˊ ㄅㄨˋ ㄆㄛˋ,ㄘㄨㄥˊ ㄖㄨㄥˊ ㄅㄨˋ ㄆㄛˋ,從:ㄘㄨㄥˊ→ㄘㄨㄥ(IVS+3),IVS可修,
從容就義,ㄘㄨㄥ ㄖㄨㄥˊ ㄐㄧㄡˋ ㄧˋ,ㄘㄨㄥˊ ㄖㄨㄥˊ ㄐㄧㄡˋ ㄧˋ,從:ㄘㄨㄥˊ→ㄘㄨㄥ(IVS+3),IVS可修,
從兄弟,ㄗㄨㄥˋ ㄒㄩㄥ ㄉㄧˋ,ㄘㄨㄥˊ ㄒㄩㄥ ㄉㄧˋ,從:ㄘㄨㄥˊ→ㄗㄨㄥˋ(IVS+1),IVS可修,
私處,ㄙ ㄔㄨˋ,ㄙ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
思量,ㄙ ㄌㄧㄤˊ,ㄙ ㄌㄧㄤˋ,量:ㄌㄧㄤˋ→ㄌㄧㄤˊ(IVS+1),IVS可修,
死馬當活馬醫,ㄙˇ ㄇㄚˇ ㄉㄤˋ ㄏㄨㄛˊ ㄇㄚˇ ㄧ,ㄙˇ ㄇㄚˇ ㄉㄤ ㄏㄨㄛˊ ㄇㄚˇ ㄧ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
死對頭,ㄙˇ ㄉㄨㄟˋ ˙ㄊㄡ,ㄙˇ ㄉㄨㄟˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
死難,ㄙˇ ㄋㄢˋ,ㄙˇ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
四處,ㄙˋ ㄔㄨˋ,ㄙˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
四重奏,ㄙˋ ㄔㄨㄥˊ ㄗㄡˋ,ㄙˋ ㄓㄨㄥˋ ㄗㄡˋ,重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1),IVS可修,
似曾相識,ㄙˋ ㄘㄥˊ ㄒㄧㄤ ㄕˋ,ㄙˋ ㄘㄥˊ ㄒㄧㄤˋ ㄕˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
撒旦,ㄙㄚ ㄉㄢˋ,ㄙㄚˇ ㄉㄢˋ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒腿,ㄙㄚ ㄊㄨㄟˇ,ㄙㄚˇ ㄊㄨㄟˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒尿,ㄙㄚ ㄋㄧㄠˋ,ㄙㄚˇ ㄋㄧㄠˋ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒賴,ㄙㄚ ㄌㄞˋ,ㄙㄚˇ ㄌㄞˋ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒謊,ㄙㄚ ㄏㄨㄤˇ,ㄙㄚˇ ㄏㄨㄤˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒嬌,ㄙㄚ ㄐㄧㄠ,ㄙㄚˇ ㄐㄧㄠ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒手,ㄙㄚ ㄕㄡˇ,ㄙㄚˇ ㄕㄡˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒手人寰,ㄙㄚ ㄕㄡˇ ㄖㄣˊ ㄏㄨㄢˊ,ㄙㄚˇ ㄕㄡˇ ㄖㄣˊ ㄏㄨㄢˊ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒野,ㄙㄚ ㄧㄝˇ,ㄙㄚˇ ㄧㄝˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
撒網,ㄙㄚ ㄨㄤˇ,ㄙㄚˇ ㄨㄤˇ,撒:ㄙㄚˇ→ㄙㄚ(IVS+1),IVS可修,
色調,ㄙㄜˋ ㄉㄧㄠˋ,ㄙㄜˋ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
塞責,ㄙㄜˋ ㄗㄜˊ,ㄙㄞ ㄗㄜˊ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
腮幫子,ㄙㄞ ㄅㄤ ˙ㄗ,ㄙㄞ ㄅㄤ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
塞內,ㄙㄞˋ ㄋㄟˋ,ㄙㄞ ㄋㄟˋ,塞:ㄙㄞ→ㄙㄞˋ(IVS+2),IVS可修,
塞翁失馬,ㄙㄞˋ ㄨㄥ ㄕ ㄇㄚˇ,ㄙㄞ ㄨㄥ ㄕ ㄇㄚˇ,塞:ㄙㄞ→ㄙㄞˋ(IVS+2),IVS可修,
搔到癢處,ㄙㄠ ㄉㄠˋ ㄧㄤˇ ㄔㄨˋ,ㄙㄠ ㄉㄠˋ ㄧㄤˇ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
掃興,ㄙㄠˇ ㄒㄧㄥˋ,ㄙㄠˇ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
嫂子,ㄙㄠˇ ˙ㄗ,ㄙㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
嫂嫂,ㄙㄠˇ ˙ㄙㄠ,ㄙㄠˇ ㄙㄠˇ,嫂:ㄙㄠˇ→˙ㄙㄠ(IVS+1),IVS可修,
掃把,ㄙㄠˋ ㄅㄚˇ,ㄙㄠˇ ㄅㄚˇ,掃:ㄙㄠˇ→ㄙㄠˋ(IVS+1),IVS可修,
掃帚,ㄙㄠˋ ㄓㄡˇ,ㄙㄠˇ ㄓㄡˇ,掃:ㄙㄠˇ→ㄙㄠˋ(IVS+1),IVS可修,
掃帚星,ㄙㄠˋ ㄓㄡˇ ㄒㄧㄥ,ㄙㄠˇ ㄓㄡˇ ㄒㄧㄥ,掃:ㄙㄠˇ→ㄙㄠˋ(IVS+1),IVS可修,
三百六十行,ㄙㄢ ㄅㄞˇ ㄌㄧㄡˋ ㄕˊ ㄏㄤˊ,ㄙㄢ ㄅㄞˇ ㄌㄧㄡˋ ㄕˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
三更半夜,ㄙㄢ ㄍㄥ ㄅㄢˋ ㄧㄝˋ,ㄙㄢ ㄍㄥˋ ㄅㄢˋ ㄧㄝˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
三更燈火五更雞,ㄙㄢ ㄍㄥ ㄉㄥ ㄏㄨㄛˇ ㄨˇ ㄍㄥ ㄐㄧ,ㄙㄢ ㄍㄥˋ ㄉㄥ ㄏㄨㄛˇ ㄨˇ ㄍㄥˋ ㄐㄧ,更:ㄍㄥˋ→ㄍㄥ(IVS+1); 更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
三句不離本行,ㄙㄢ ㄐㄩˋ ㄅㄨˋ ㄌㄧˊ ㄅㄣˇ ㄏㄤˊ,ㄙㄢ ㄐㄩˋ ㄅㄨˋ ㄌㄧˊ ㄅㄣˇ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
散兵,ㄙㄢˇ ㄅㄧㄥ,ㄙㄢˋ ㄅㄧㄥ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
散曲,ㄙㄢˇ ㄑㄩˇ,ㄙㄢˋ ㄑㄩˇ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
散沙,ㄙㄢˇ ㄕㄚ,ㄙㄢˋ ㄕㄚ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
散文,ㄙㄢˇ ㄨㄣˊ,ㄙㄢˋ ㄨㄣˊ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
散漫,ㄙㄢˇ ㄇㄢˋ,ㄙㄢˋ ㄇㄢˋ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
嗓子,ㄙㄤˇ ˙ㄗ,ㄙㄤˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
喪命,ㄙㄤˋ ㄇㄧㄥˋ,ㄙㄤ ㄇㄧㄥˋ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪膽,ㄙㄤˋ ㄉㄢˇ,ㄙㄤ ㄉㄢˇ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪家之犬,ㄙㄤˋ ㄐㄧㄚ ㄓ ㄑㄩㄢˇ,ㄙㄤ ㄐㄧㄚ ㄓ ㄑㄩㄢˇ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪盡天良,ㄙㄤˋ ㄐㄧㄣˋ ㄊㄧㄢ ㄌㄧㄤˊ,ㄙㄤ ㄐㄧㄣˋ ㄊㄧㄢ ㄌㄧㄤˊ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪氣,ㄙㄤˋ ㄑㄧˋ,ㄙㄤ ㄑㄧˋ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪權辱國,ㄙㄤˋ ㄑㄩㄢˊ ㄖㄨˋ ㄍㄨㄛˊ,ㄙㄤ ㄑㄩㄢˊ ㄖㄨˋ ㄍㄨㄛˊ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪心病狂,ㄙㄤˋ ㄒㄧㄣ ㄅㄧㄥˋ ㄎㄨㄤˊ,ㄙㄤ ㄒㄧㄣ ㄅㄧㄥˋ ㄎㄨㄤˊ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪志,ㄙㄤˋ ㄓˋ,ㄙㄤ ㄓˋ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪失,ㄙㄤˋ ㄕ,ㄙㄤ ㄕ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪身,ㄙㄤˋ ㄕㄣ,ㄙㄤ ㄕㄣ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
喪生,ㄙㄤˋ ㄕㄥ,ㄙㄤ ㄕㄥ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
夙負盛名,ㄙㄨˋ ㄈㄨˋ ㄕㄥˋ ㄇㄧㄥˊ,ㄙㄨˋ ㄈㄨˋ ㄔㄥˊ ㄇㄧㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
素不相識,ㄙㄨˋ ㄅㄨˋ ㄒㄧㄤ ㄕˋ,ㄙㄨˋ ㄅㄨˋ ㄒㄧㄤˋ ㄕˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
素行,ㄙㄨˋ ㄒㄧㄥˋ,ㄙㄨˋ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄒㄧㄥˋ(IVS+2),IVS可修,
素行不良,ㄙㄨˋ ㄒㄧㄥˋ ㄅㄨˋ ㄌㄧㄤˊ,ㄙㄨˋ ㄒㄧㄥˊ ㄅㄨˋ ㄌㄧㄤˊ,行:ㄒㄧㄥˊ→ㄒㄧㄥˋ(IVS+2),IVS可修,
鎖匙,ㄙㄨㄛˇ ˙ㄕ,ㄙㄨㄛˇ ㄔˊ,匙:ㄔˊ→˙ㄕ(IVS+1),IVS可修,
隨機應變,ㄙㄨㄟˊ ㄐㄧ ㄧㄥˋ ㄅㄧㄢˋ,ㄙㄨㄟˊ ㄐㄧ ㄧㄥ ㄅㄧㄢˋ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
隨興,ㄙㄨㄟˊ ㄒㄧㄥˋ,ㄙㄨㄟˊ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
隨處,ㄙㄨㄟˊ ㄔㄨˋ,ㄙㄨㄟˊ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
隨聲附和,ㄙㄨㄟˊ ㄕㄥ ㄈㄨˋ ㄏㄜˋ,ㄙㄨㄟˊ ㄕㄥ ㄈㄨˋ ㄏㄜˊ,和:ㄏㄜˊ→ㄏㄜˋ(IVS+2),IVS可修,
損兵折將,ㄙㄨㄣˇ ㄅㄧㄥ ㄓㄜˊ ㄐㄧㄤˋ,ㄙㄨㄣˇ ㄅㄧㄥ ㄓㄜˊ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
榫頭,ㄙㄨㄣˇ ˙ㄊㄡ,ㄙㄨㄣˇ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
鬆散,ㄙㄨㄥ ㄙㄢˇ,ㄙㄨㄥ ㄙㄢˋ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
送還,ㄙㄨㄥˋ ㄏㄨㄢˊ,ㄙㄨㄥˋ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
啊哈,ㄚ ㄏㄚ,˙ㄚ ㄏㄚ,啊:˙ㄚ→ㄚ(IVS+1),IVS可修,
阿諛,ㄜ ㄩˊ,ㄚ ㄩˊ,阿:ㄚ→ㄜ(IVS+1),IVS可修,
婀娜,ㄜ ㄋㄨㄛˊ,ㄜ ㄋㄚˋ,娜:ㄋㄚˋ→ㄋㄨㄛˊ(IVS+1),IVS可修,
婀娜多姿,ㄜ ㄋㄨㄛˊ ㄉㄨㄛ ㄗ,ㄜ ㄋㄚˋ ㄉㄨㄛ ㄗ,娜:ㄋㄚˋ→ㄋㄨㄛˊ(IVS+1),IVS可修,
額頭,ㄜˊ ˙ㄊㄡ,ㄜˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
惡心,ㄜˇ ㄒㄧㄣ,ㄜˋ ㄒㄧㄣ,惡:ㄜˋ→ㄜˇ(IVS+3),IVS可修,
惡少,ㄜˋ ㄕㄠˋ,ㄜˋ ㄕㄠˇ,少:ㄕㄠˇ→ㄕㄠˋ(IVS+1),IVS可修,
哀號,ㄞ ㄏㄠˊ,ㄞ ㄏㄠˋ,號:ㄏㄠˋ→ㄏㄠˊ(IVS+1),IVS可修,
欸乃,ㄞˇ ㄋㄞˇ,ㄟˋ ㄋㄞˇ,欸:ㄟˋ→ㄞˇ(IVS+1),IVS可修,
愛好,ㄞˋ ㄏㄠˋ,ㄞˋ ㄏㄠˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
拗口,ㄠˋ ㄎㄡˇ,ㄋㄧㄡˋ ㄎㄡˇ,拗:ㄋㄧㄡˋ→ㄠˋ(IVS+1),IVS可修,
懊喪,ㄠˋ ㄙㄤˋ,ㄠˋ ㄙㄤ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
嘔吐,ㄡˇ ㄊㄨˋ,ㄡˇ ㄊㄨˇ,吐:ㄊㄨˇ→ㄊㄨˋ(IVS+1),IVS可修,
嘔氣,ㄡˋ ㄑㄧˋ,ㄡˇ ㄑㄧˋ,嘔:ㄡˇ→ㄡˋ(IVS+1),IVS可修,
安分守己,ㄢ ㄈㄣˋ ㄕㄡˇ ㄐㄧˇ,ㄢ ㄈㄣ ㄕㄡˇ ㄐㄧˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
案子,ㄢˋ ˙ㄗ,ㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
暗處,ㄢˋ ㄔㄨˋ,ㄢˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
恩給制,ㄣ ㄐㄧˇ ㄓˋ,ㄣ ㄍㄟˇ ㄓˋ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
兒化音,ㄦ ㄏㄨㄚˋ ㄧㄣ,ㄦˊ ㄏㄨㄚˋ ㄧㄣ,兒:ㄦˊ→ㄦ(IVS+1),IVS可修,
兒子,ㄦˊ ˙ㄗ,ㄦˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
耳刮子,ㄦˇ ㄍㄨㄚ ˙ㄗ,ㄦˇ ㄍㄨㄚ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
二愣子,ㄦˋ ㄌㄥˋ ˙ㄗ,ㄦˋ ㄌㄥˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
二次全倒,ㄦˋ ㄘˋ ㄑㄩㄢˊ ㄉㄠˇ,ㄦˋ ㄘˋ ㄑㄩㄢˊ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
