詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
少婦,ㄕㄠˋ ㄈㄨˋ,ㄕㄠˇ ㄈㄨˋ,少󠇡婦,U+5C11 U+E01E1 U+5A66,少:IVS+1,
少奶奶,ㄕㄠˋ ㄋㄞˇ ˙ㄋㄞ,ㄕㄠˇ ㄋㄞˇ ㄋㄞˇ,少󠇡奶奶󠇡,U+5C11 U+E01E1 U+5976 U+5976 U+E01E1,少:IVS+1; 奶:IVS+1,
少年,ㄕㄠˋ ㄋㄧㄢˊ,ㄕㄠˇ ㄋㄧㄢˊ,少󠇡年,U+5C11 U+E01E1 U+5E74,少:IVS+1,
少年法庭,ㄕㄠˋ ㄋㄧㄢˊ ㄈㄚˇ ㄊㄧㄥˊ,ㄕㄠˇ ㄋㄧㄢˊ ㄈㄚˇ ㄊㄧㄥˊ,少󠇡年法庭,U+5C11 U+E01E1 U+5E74 U+6CD5 U+5EAD,少:IVS+1,
少年老成,ㄕㄠˋ ㄋㄧㄢˊ ㄌㄠˇ ㄔㄥˊ,ㄕㄠˇ ㄋㄧㄢˊ ㄌㄠˇ ㄔㄥˊ,少󠇡年老成,U+5C11 U+E01E1 U+5E74 U+8001 U+6210,少:IVS+1,
少女,ㄕㄠˋ ㄋㄩˇ,ㄕㄠˇ ㄋㄩˇ,少󠇡女,U+5C11 U+E01E1 U+5973,少:IVS+1,
少女情懷,ㄕㄠˋ ㄋㄩˇ ㄑㄧㄥˊ ㄏㄨㄞˊ,ㄕㄠˇ ㄋㄩˇ ㄑㄧㄥˊ ㄏㄨㄞˊ,少󠇡女情懷,U+5C11 U+E01E1 U+5973 U+60C5 U+61F7,少:IVS+1,
少林拳,ㄕㄠˋ ㄌㄧㄣˊ ㄑㄩㄢˊ,ㄕㄠˇ ㄌㄧㄣˊ ㄑㄩㄢˊ,少󠇡林拳,U+5C11 U+E01E1 U+6797 U+62F3,少:IVS+1,
少小,ㄕㄠˋ ㄒㄧㄠˇ,ㄕㄠˇ ㄒㄧㄠˇ,少󠇡小,U+5C11 U+E01E1 U+5C0F,少:IVS+1,
少壯,ㄕㄠˋ ㄓㄨㄤˋ,ㄕㄠˇ ㄓㄨㄤˋ,少󠇡壯,U+5C11 U+E01E1 U+58EF,少:IVS+1,
少時,ㄕㄠˋ ㄕˊ,ㄕㄠˇ ㄕˊ,少󠇡時,U+5C11 U+E01E1 U+6642,少:IVS+1,
少爺,ㄕㄠˋ ㄧㄝˊ,ㄕㄠˇ ㄧㄝˊ,少󠇡爺,U+5C11 U+E01E1 U+723A,少:IVS+1,
哨子,ㄕㄠˋ ˙ㄗ,ㄕㄠˋ ㄗˇ,哨子󠇡,U+54E8 U+5B50 U+E01E1,子:IVS+1,
手把,ㄕㄡˇ ㄅㄚˋ,ㄕㄡˇ ㄅㄚˇ,手把󠇡,U+624B U+628A U+E01E1,把:IVS+1,
守分,ㄕㄡˇ ㄈㄣˋ,ㄕㄡˇ ㄈㄣ,守分󠇡,U+5B88 U+5206 U+E01E1,分:IVS+1,
守正不阿,ㄕㄡˇ ㄓㄥˋ ㄅㄨˋ ㄜ,ㄕㄡˇ ㄓㄥˋ ㄅㄨˋ ㄚ,守正不阿󠇡,U+5B88 U+6B63 U+4E0D U+963F U+E01E1,阿:IVS+1,
守望相助,ㄕㄡˇ ㄨㄤˋ ㄒㄧㄤ ㄓㄨˋ,ㄕㄡˇ ㄨㄤˋ ㄒㄧㄤˋ ㄓㄨˋ,守望相󠇡助,U+5B88 U+671B U+76F8 U+E01E1 U+52A9,相:IVS+1,
首都,ㄕㄡˇ ㄉㄨ,ㄕㄡˇ ㄉㄡ,首都󠇡,U+9996 U+90FD U+E01E1,都:IVS+1,
首長,ㄕㄡˇ ㄓㄤˇ,ㄕㄡˇ ㄔㄤˊ,首長󠇡,U+9996 U+9577 U+E01E1,長:IVS+1,
受不了,ㄕㄡˋ ㄅㄨˋ ㄌㄧㄠˇ,ㄕㄡˋ ㄅㄨˋ ˙ㄌㄜ,受不了󠇡,U+53D7 U+4E0D U+4E86 U+E01E1,了:IVS+1,
受難,ㄕㄡˋ ㄋㄢˋ,ㄕㄡˋ ㄋㄢˊ,受難󠇡,U+53D7 U+96E3 U+E01E1,難:IVS+1,
瘦削,ㄕㄡˋ ㄒㄩㄝˋ,ㄕㄡˋ ㄒㄧㄠ,瘦削󠇡,U+7626 U+524A U+E01E1,削:IVS+1,
瘦子,ㄕㄡˋ ˙ㄗ,ㄕㄡˋ ㄗˇ,瘦子󠇡,U+7626 U+5B50 U+E01E1,子:IVS+1,
山難,ㄕㄢ ㄋㄢˋ,ㄕㄢ ㄋㄢˊ,山難󠇡,U+5C71 U+96E3 U+E01E1,難:IVS+1,
山重水複,ㄕㄢ ㄔㄨㄥˊ ㄕㄨㄟˇ ㄈㄨˋ,ㄕㄢ ㄓㄨㄥˋ ㄕㄨㄟˇ ㄈㄨˋ,山重󠇡水複,U+5C71 U+91CD U+E01E1 U+6C34 U+8907,重:IVS+1,
扇子,ㄕㄢˋ ˙ㄗ,ㄕㄢˋ ㄗˇ,扇子󠇡,U+6247 U+5B50 U+E01E1,子:IVS+1,
單縣,ㄕㄢˋ ㄒㄧㄢˋ,ㄉㄢ ㄒㄧㄢˋ,單󠇡縣,U+55AE U+E01E1 U+7E23,單:IVS+1,
撣人,ㄕㄢˋ ㄖㄣˊ,ㄉㄢˇ ㄖㄣˊ,撣󠇡人,U+64A3 U+E01E1 U+4EBA,撣:IVS+1,
禪讓,ㄕㄢˋ ㄖㄤˋ,ㄔㄢˊ ㄖㄤˋ,禪󠇡讓,U+79AA U+E01E1 U+8B93,禪:IVS+1,
伸縮縫,ㄕㄣ ㄙㄨㄛ ㄈㄥˋ,ㄕㄣ ㄙㄨㄛ ㄈㄥˊ,伸縮縫󠇡,U+4F38 U+7E2E U+7E2B U+E01E1,縫:IVS+1,
身分,ㄕㄣ ㄈㄣˋ,ㄕㄣ ㄈㄣ,身分󠇡,U+8EAB U+5206 U+E01E1,分:IVS+1,
身分證,ㄕㄣ ㄈㄣˋ ㄓㄥˋ,ㄕㄣ ㄈㄣ ㄓㄥˋ,身分󠇡證,U+8EAB U+5206 U+E01E1 U+8B49,分:IVS+1,
身子,ㄕㄣ ˙ㄗ,ㄕㄣ ㄗˇ,身子󠇡,U+8EAB U+5B50 U+E01E1,子:IVS+1,
深更半夜,ㄕㄣ ㄍㄥ ㄅㄢˋ ㄧㄝˋ,ㄕㄣ ㄍㄥˋ ㄅㄢˋ ㄧㄝˋ,深更󠇡半夜,U+6DF1 U+66F4 U+E01E1 U+534A U+591C,更:IVS+1,
深切,ㄕㄣ ㄑㄧㄝˋ,ㄕㄣ ㄑㄧㄝ,深切󠇡,U+6DF1 U+5207 U+E01E1,切:IVS+1,
深藏不露,ㄕㄣ ㄘㄤˊ ㄅㄨˋ ㄌㄡˋ,ㄕㄣ ㄘㄤˊ ㄅㄨˋ ㄌㄨˋ,深藏不露󠇡,U+6DF1 U+85CF U+4E0D U+9732 U+E01E1,露:IVS+1,
深惡痛絕,ㄕㄣ ㄨˋ ㄊㄨㄥˋ ㄐㄩㄝˊ,ㄕㄣ ㄜˋ ㄊㄨㄥˋ ㄐㄩㄝˊ,深惡󠇡痛絕,U+6DF1 U+60E1 U+E01E1 U+75DB U+7D55,惡:IVS+1,
莘莘學子,ㄕㄣ ㄕㄣ ㄒㄩㄝˊ ㄗˇ,ㄒㄧㄣ ㄒㄧㄣ ㄒㄩㄝˊ ㄗˇ,莘󠇡莘󠇡學子,U+8398 U+E01E1 U+8398 U+E01E1 U+5B78 U+5B50,莘:IVS+1; 莘:IVS+1,
甚麼,ㄕㄣˊ ˙ㄇㄜ,ㄕㄣˋ ˙ㄇㄜ,甚󠇡麼,U+751A U+E01E1 U+9EBC,甚:IVS+1,
神魂顛倒,ㄕㄣˊ ㄏㄨㄣˊ ㄉㄧㄢ ㄉㄠˇ,ㄕㄣˊ ㄏㄨㄣˊ ㄉㄧㄢ ㄉㄠˋ,神魂顛倒󠇡,U+795E U+9B42 U+985B U+5012 U+E01E1,倒:IVS+1,
神差鬼使,ㄕㄣˊ ㄔㄞ ㄍㄨㄟˇ ㄕˇ,ㄕㄣˊ ㄔㄚ ㄍㄨㄟˇ ㄕˇ,神差󠇡鬼使,U+795E U+5DEE U+E01E1 U+9B3C U+4F7F,差:IVS+1,
神出鬼沒,ㄕㄣˊ ㄔㄨ ㄍㄨㄟˇ ㄇㄛˋ,ㄕㄣˊ ㄔㄨ ㄍㄨㄟˇ ㄇㄟˊ,神出鬼沒󠇡,U+795E U+51FA U+9B3C U+6C92 U+E01E1,沒:IVS+1,
神荼鬱壘,ㄕㄣˊ ㄕㄨ ㄩˋ ㄌㄩˋ,ㄕㄣˊ ㄊㄨˊ ㄩˋ ㄌㄟˇ,神荼󠇡鬱壘󠇡,U+795E U+837C U+E01E1 U+9B31 U+58D8 U+E01E1,荼:IVS+1; 壘:IVS+1,
嬸嬸,ㄕㄣˇ ˙ㄕㄣ,ㄕㄣˇ ㄕㄣˇ,嬸嬸󠇡,U+5B38 U+5B38 U+E01E1,嬸:IVS+1,
商量,ㄕㄤ ㄌㄧㄤˊ,ㄕㄤ ㄌㄧㄤˋ,商量󠇡,U+5546 U+91CF U+E01E1,量:IVS+1,
商行,ㄕㄤ ㄏㄤˊ,ㄕㄤ ㄒㄧㄥˊ,商行󠇡,U+5546 U+884C U+E01E1,行:IVS+1,
湯湯,ㄕㄤ ㄕㄤ,ㄊㄤ ㄊㄤ,湯󠇡湯󠇡,U+6E6F U+E01E1 U+6E6F U+E01E1,湯:IVS+1; 湯:IVS+1,
傷痕累累,ㄕㄤ ㄏㄣˊ ㄌㄟˇ ㄌㄟˇ,ㄕㄤ ㄏㄣˊ ㄌㄟˋ ㄌㄟˋ,傷痕累󠇡累󠇡,U+50B7 U+75D5 U+7D2F U+E01E1 U+7D2F U+E01E1,累:IVS+1; 累:IVS+1,
上聲,ㄕㄤˇ ㄕㄥ,ㄕㄤˋ ㄕㄥ,上󠇡聲,U+4E0A U+E01E1 U+8072,上:IVS+1,
晌午,ㄕㄤˇ ˙ㄏㄨㄛ,ㄕㄤˇ ㄨˇ,晌午󠇡,U+664C U+5348 U+E01E1,午:IVS+1,
上輩子,ㄕㄤˋ ㄅㄟˋ ˙ㄗ,ㄕㄤˋ ㄅㄟˋ ㄗˇ,上輩子󠇡,U+4E0A U+8F29 U+5B50 U+E01E1,子:IVS+1,
上當,ㄕㄤˋ ㄉㄤˋ,ㄕㄤˋ ㄉㄤ,上當󠇡,U+4E0A U+7576 U+E01E1,當:IVS+1,
上頭,ㄕㄤˋ ˙ㄊㄡ,ㄕㄤˋ ㄊㄡˊ,上頭󠇡,U+4E0A U+982D U+E01E1,頭:IVS+1,
上吐下瀉,ㄕㄤˋ ㄊㄨˋ ㄒㄧㄚˋ ㄒㄧㄝˋ,ㄕㄤˋ ㄊㄨˇ ㄒㄧㄚˋ ㄒㄧㄝˋ,上吐󠇡下瀉,U+4E0A U+5410 U+E01E1 U+4E0B U+7009,吐:IVS+1,
上館子,ㄕㄤˋ ㄍㄨㄢˇ ˙ㄗ,ㄕㄤˋ ㄍㄨㄢˇ ㄗˇ,上館子󠇡,U+4E0A U+9928 U+5B50 U+E01E1,子:IVS+1,
上將,ㄕㄤˋ ㄐㄧㄤˋ,ㄕㄤˋ ㄐㄧㄤ,上將󠇡,U+4E0A U+5C07 U+E01E1,將:IVS+1,
上乘,ㄕㄤˋ ㄕㄥˋ,ㄕㄤˋ ㄔㄥˊ,上乘󠇡,U+4E0A U+4E58 U+E01E1,乘:IVS+1,
生還,ㄕㄥ ㄏㄨㄢˊ,ㄕㄥ ㄏㄞˊ,生還󠇡,U+751F U+9084 U+E01E1,還:IVS+1,
生長,ㄕㄥ ㄓㄤˇ,ㄕㄥ ㄔㄤˊ,生長󠇡,U+751F U+9577 U+E01E1,長:IVS+1,
牲畜,ㄕㄥ ㄔㄨˋ,ㄕㄥ ㄒㄩˋ,牲畜󠇡,U+7272 U+755C U+E01E1,畜:IVS+1,
勝任,ㄕㄥ ㄖㄣˋ,ㄕㄥˋ ㄖㄣˋ,勝󠇡任,U+52DD U+E01E1 U+4EFB,勝:IVS+1,
聲名狼藉,ㄕㄥ ㄇㄧㄥˊ ㄌㄤˊ ㄐㄧˊ,ㄕㄥ ㄇㄧㄥˊ ㄌㄤˊ ㄐㄧㄝˋ,聲名狼藉󠇡,U+8072 U+540D U+72FC U+85C9 U+E01E1,藉:IVS+1,
聲調,ㄕㄥ ㄉㄧㄠˋ,ㄕㄥ ㄊㄧㄠˊ,聲調󠇡,U+8072 U+8ABF U+E01E1,調:IVS+1,
聲氣相投,ㄕㄥ ㄑㄧˋ ㄒㄧㄤ ㄊㄡˊ,ㄕㄥ ㄑㄧˋ ㄒㄧㄤˋ ㄊㄡˊ,聲氣相󠇡投,U+8072 U+6C23 U+76F8 U+E01E1 U+6295,相:IVS+1,
聲氣相求,ㄕㄥ ㄑㄧˋ ㄒㄧㄤ ㄑㄧㄡˊ,ㄕㄥ ㄑㄧˋ ㄒㄧㄤˋ ㄑㄧㄡˊ,聲氣相󠇡求,U+8072 U+6C23 U+76F8 U+E01E1 U+6C42,相:IVS+1,
聲樂,ㄕㄥ ㄩㄝˋ,ㄕㄥ ㄌㄜˋ,聲樂󠇡,U+8072 U+6A02 U+E01E1,樂:IVS+1,
省分,ㄕㄥˇ ㄈㄣˋ,ㄕㄥˇ ㄈㄣ,省分󠇡,U+7701 U+5206 U+E01E1,分:IVS+1,
省長,ㄕㄥˇ ㄓㄤˇ,ㄕㄥˇ ㄔㄤˊ,省長󠇡,U+7701 U+9577 U+E01E1,長:IVS+1,
盛名,ㄕㄥˋ ㄇㄧㄥˊ,ㄔㄥˊ ㄇㄧㄥˊ,盛󠇡名,U+76DB U+E01E1 U+540D,盛:IVS+1,
盛大,ㄕㄥˋ ㄉㄚˋ,ㄔㄥˊ ㄉㄚˋ,盛󠇡大,U+76DB U+E01E1 U+5927,盛:IVS+1,
盛典,ㄕㄥˋ ㄉㄧㄢˇ,ㄔㄥˊ ㄉㄧㄢˇ,盛󠇡典,U+76DB U+E01E1 U+5178,盛:IVS+1,
盛年,ㄕㄥˋ ㄋㄧㄢˊ,ㄔㄥˊ ㄋㄧㄢˊ,盛󠇡年,U+76DB U+E01E1 U+5E74,盛:IVS+1,
盛怒,ㄕㄥˋ ㄋㄨˋ,ㄔㄥˊ ㄋㄨˋ,盛󠇡怒,U+76DB U+E01E1 U+6012,盛:IVS+1,
盛開,ㄕㄥˋ ㄎㄞ,ㄔㄥˊ ㄎㄞ,盛󠇡開,U+76DB U+E01E1 U+958B,盛:IVS+1,
盛況,ㄕㄥˋ ㄎㄨㄤˋ,ㄔㄥˊ ㄎㄨㄤˋ,盛󠇡況,U+76DB U+E01E1 U+6CC1,盛:IVS+1,
盛況空前,ㄕㄥˋ ㄎㄨㄤˋ ㄎㄨㄥ ㄑㄧㄢˊ,ㄔㄥˊ ㄎㄨㄤˋ ㄎㄨㄥ ㄑㄧㄢˊ,盛󠇡況空前,U+76DB U+E01E1 U+6CC1 U+7A7A U+524D,盛:IVS+1,
盛會,ㄕㄥˋ ㄏㄨㄟˋ,ㄔㄥˊ ㄏㄨㄟˋ,盛󠇡會,U+76DB U+E01E1 U+6703,盛:IVS+1,
盛極必衰,ㄕㄥˋ ㄐㄧˊ ㄅㄧˋ ㄕㄨㄞ,ㄔㄥˊ ㄐㄧˊ ㄅㄧˋ ㄕㄨㄞ,盛󠇡極必衰,U+76DB U+E01E1 U+6975 U+5FC5 U+8870,盛:IVS+1,
盛極一時,ㄕㄥˋ ㄐㄧˊ ㄧ ㄕˊ,ㄔㄥˊ ㄐㄧˊ ㄧ ㄕˊ,盛󠇡極一時,U+76DB U+E01E1 U+6975 U+4E00 U+6642,盛:IVS+1,
盛舉,ㄕㄥˋ ㄐㄩˇ,ㄔㄥˊ ㄐㄩˇ,盛󠇡舉,U+76DB U+E01E1 U+8209,盛:IVS+1,
盛氣凌人,ㄕㄥˋ ㄑㄧˋ ㄌㄧㄥˊ ㄖㄣˊ,ㄔㄥˊ ㄑㄧˋ ㄌㄧㄥˊ ㄖㄣˊ,盛󠇡氣凌人,U+76DB U+E01E1 U+6C23 U+51CC U+4EBA,盛:IVS+1,
盛情,ㄕㄥˋ ㄑㄧㄥˊ,ㄔㄥˊ ㄑㄧㄥˊ,盛󠇡情,U+76DB U+E01E1 U+60C5,盛:IVS+1,
盛情難卻,ㄕㄥˋ ㄑㄧㄥˊ ㄋㄢˊ ㄑㄩㄝˋ,ㄔㄥˊ ㄑㄧㄥˊ ㄋㄢˊ ㄑㄩㄝˋ,盛󠇡情難卻,U+76DB U+E01E1 U+60C5 U+96E3 U+537B,盛:IVS+1,
盛行,ㄕㄥˋ ㄒㄧㄥˊ,ㄔㄥˊ ㄒㄧㄥˊ,盛󠇡行,U+76DB U+E01E1 U+884C,盛:IVS+1,
盛裝,ㄕㄥˋ ㄓㄨㄤ,ㄔㄥˊ ㄓㄨㄤ,盛󠇡裝,U+76DB U+E01E1 U+88DD,盛:IVS+1,
盛產,ㄕㄥˋ ㄔㄢˇ,ㄔㄥˊ ㄔㄢˇ,盛󠇡產,U+76DB U+E01E1 U+7522,盛:IVS+1,
盛傳,ㄕㄥˋ ㄔㄨㄢˊ,ㄔㄥˊ ㄔㄨㄢˊ,盛󠇡傳,U+76DB U+E01E1 U+50B3,盛:IVS+1,
盛世,ㄕㄥˋ ㄕˋ,ㄔㄥˊ ㄕˋ,盛󠇡世,U+76DB U+E01E1 U+4E16,盛:IVS+1,
盛事,ㄕㄥˋ ㄕˋ,ㄔㄥˊ ㄕˋ,盛󠇡事,U+76DB U+E01E1 U+4E8B,盛:IVS+1,
盛衰,ㄕㄥˋ ㄕㄨㄞ,ㄔㄥˊ ㄕㄨㄞ,盛󠇡衰,U+76DB U+E01E1 U+8870,盛:IVS+1,
盛衰榮枯,ㄕㄥˋ ㄕㄨㄞ ㄖㄨㄥˊ ㄎㄨ,ㄔㄥˊ ㄕㄨㄞ ㄖㄨㄥˊ ㄎㄨ,盛󠇡衰榮枯,U+76DB U+E01E1 U+8870 U+69AE U+67AF,盛:IVS+1,
盛意,ㄕㄥˋ ㄧˋ,ㄔㄥˊ ㄧˋ,盛󠇡意,U+76DB U+E01E1 U+610F,盛:IVS+1,
盛筵,ㄕㄥˋ ㄧㄢˊ,ㄔㄥˊ ㄧㄢˊ,盛󠇡筵,U+76DB U+E01E1 U+7B75,盛:IVS+1,
盛宴,ㄕㄥˋ ㄧㄢˋ,ㄔㄥˊ ㄧㄢˋ,盛󠇡宴,U+76DB U+E01E1 U+5BB4,盛:IVS+1,
盛譽,ㄕㄥˋ ㄩˋ,ㄔㄥˊ ㄩˋ,盛󠇡譽,U+76DB U+E01E1 U+8B7D,盛:IVS+1,
梳子,ㄕㄨ ˙ㄗ,ㄕㄨ ㄗˇ,梳子󠇡,U+68B3 U+5B50 U+E01E1,子:IVS+1,
書呆子,ㄕㄨ ㄉㄞ ˙ㄗ,ㄕㄨ ㄉㄞ ㄗˇ,書呆子󠇡,U+66F8 U+5446 U+5B50 U+E01E1,子:IVS+1,
叔叔,ㄕㄨˊ ˙ㄕㄨ,ㄕㄨˊ ㄕㄨˊ,叔叔󠇡,U+53D4 U+53D4 U+E01E1,叔:IVS+1,
暑假,ㄕㄨˇ ㄐㄧㄚˋ,ㄕㄨˇ ㄐㄧㄚˇ,暑假󠇡,U+6691 U+5047 U+E01E1,假:IVS+1,
署長,ㄕㄨˇ ㄓㄤˇ,ㄕㄨˇ ㄔㄤˊ,署長󠇡,U+7F72 U+9577 U+E01E1,長:IVS+1,
數典忘祖,ㄕㄨˇ ㄉㄧㄢˇ ㄨㄤˋ ㄗㄨˇ,ㄕㄨˋ ㄉㄧㄢˇ ㄨㄤˋ ㄗㄨˇ,數󠇡典忘祖,U+6578 U+E01E1 U+5178 U+5FD8 U+7956,數:IVS+1,
數來寶,ㄕㄨˇ ㄌㄞˊ ㄅㄠˇ,ㄕㄨˋ ㄌㄞˊ ㄅㄠˇ,數󠇡來寶,U+6578 U+E01E1 U+4F86 U+5BF6,數:IVS+1,
數落,ㄕㄨˇ ㄌㄨㄛˋ,ㄕㄨˋ ㄌㄨㄛˋ,數󠇡落,U+6578 U+E01E1 U+843D,數:IVS+1,
數數兒,ㄕㄨˇ ㄕㄨˋ ㄦ,ㄕㄨˋ ㄕㄨˋ ㄦˊ,數󠇡數兒󠇡,U+6578 U+E01E1 U+6578 U+5152 U+E01E1,數:IVS+1; 兒:IVS+1,
數一數二,ㄕㄨˇ ㄧ ㄕㄨˇ ㄦˋ,ㄕㄨˋ ㄧ ㄕㄨˋ ㄦˋ,數󠇡一數󠇡二,U+6578 U+E01E1 U+4E00 U+6578 U+E01E1 U+4E8C,數:IVS+1; 數:IVS+1,
庶幾,ㄕㄨˋ ㄐㄧ,ㄕㄨˋ ㄐㄧˇ,庶幾󠇡,U+5EB6 U+5E7E U+E01E1,幾:IVS+1,
署名,ㄕㄨˋ ㄇㄧㄥˊ,ㄕㄨˇ ㄇㄧㄥˊ,署󠇡名,U+7F72 U+E01E1 U+540D,署:IVS+1,
署理,ㄕㄨˋ ㄌㄧˇ,ㄕㄨˇ ㄌㄧˇ,署󠇡理,U+7F72 U+E01E1 U+7406,署:IVS+1,
樹倒猢猻散,ㄕㄨˋ ㄉㄠˇ ㄏㄨˊ ㄙㄨㄣ ㄙㄢˋ,ㄕㄨˋ ㄉㄠˋ ㄏㄨˊ ㄙㄨㄣ ㄙㄢˋ,樹倒󠇡猢猻散,U+6A39 U+5012 U+E01E1 U+7322 U+733B U+6563,倒:IVS+1,
刷子,ㄕㄨㄚ ˙ㄗ,ㄕㄨㄚ ㄗˇ,刷子󠇡,U+5237 U+5B50 U+E01E1,子:IVS+1,
耍猴兒,ㄕㄨㄚˇ ㄏㄡˊ ㄦ,ㄕㄨㄚˇ ㄏㄡˊ ㄦˊ,耍猴兒󠇡,U+800D U+7334 U+5152 U+E01E1,兒:IVS+1,
說不得,ㄕㄨㄛ ㄅㄨˋ ˙ㄉㄜ,ㄕㄨㄛ ㄅㄨˋ ㄉㄜˊ,說不得󠇡,U+8AAA U+4E0D U+5F97 U+E01E1,得:IVS+1,
說得過去,ㄕㄨㄛ ˙ㄉㄜ ㄍㄨㄛˋ ㄑㄩˋ,ㄕㄨㄛ ㄉㄜˊ ㄍㄨㄛˋ ㄑㄩˋ,說得󠇡過去,U+8AAA U+5F97 U+E01E1 U+904E U+53BB,得:IVS+1,
摔倒,ㄕㄨㄞ ㄉㄠˇ,ㄕㄨㄞ ㄉㄠˋ,摔倒󠇡,U+6454 U+5012 U+E01E1,倒:IVS+1,
率隊,ㄕㄨㄞˋ ㄉㄨㄟˋ,ㄌㄩˋ ㄉㄨㄟˋ,率󠇡隊,U+7387 U+E01E1 U+968A,率:IVS+1,
率同,ㄕㄨㄞˋ ㄊㄨㄥˊ,ㄌㄩˋ ㄊㄨㄥˊ,率󠇡同,U+7387 U+E01E1 U+540C,率:IVS+1,
率領,ㄕㄨㄞˋ ㄌㄧㄥˇ,ㄌㄩˋ ㄌㄧㄥˇ,率󠇡領,U+7387 U+E01E1 U+9818,率:IVS+1,
率皆,ㄕㄨㄞˋ ㄐㄧㄝ,ㄌㄩˋ ㄐㄧㄝ,率󠇡皆,U+7387 U+E01E1 U+7686,率:IVS+1,
率先,ㄕㄨㄞˋ ㄒㄧㄢ,ㄌㄩˋ ㄒㄧㄢ,率󠇡先,U+7387 U+E01E1 U+5148,率:IVS+1,
率性,ㄕㄨㄞˋ ㄒㄧㄥˋ,ㄌㄩˋ ㄒㄧㄥˋ,率󠇡性,U+7387 U+E01E1 U+6027,率:IVS+1,
率直,ㄕㄨㄞˋ ㄓˊ,ㄌㄩˋ ㄓˊ,率󠇡直,U+7387 U+E01E1 U+76F4,率:IVS+1,
率真,ㄕㄨㄞˋ ㄓㄣ,ㄌㄩˋ ㄓㄣ,率󠇡真,U+7387 U+E01E1 U+771F,率:IVS+1,
率然,ㄕㄨㄞˋ ㄖㄢˊ,ㄌㄩˋ ㄖㄢˊ,率󠇡然,U+7387 U+E01E1 U+7136,率:IVS+1,
率爾,ㄕㄨㄞˋ ㄦˇ,ㄌㄩˋ ㄦˇ,率󠇡爾,U+7387 U+E01E1 U+723E,率:IVS+1,
水分,ㄕㄨㄟˇ ㄈㄣˋ,ㄕㄨㄟˇ ㄈㄣ,水分󠇡,U+6C34 U+5206 U+E01E1,分:IVS+1,
說服,ㄕㄨㄟˋ ㄈㄨˊ,ㄕㄨㄛ ㄈㄨˊ,說󠇡服,U+8AAA U+E01E1 U+670D,說:IVS+1,
說客,ㄕㄨㄟˋ ㄎㄜˋ,ㄕㄨㄛ ㄎㄜˋ,說󠇡客,U+8AAA U+E01E1 U+5BA2,說:IVS+1,
睡不著,ㄕㄨㄟˋ ㄅㄨˋ ㄓㄠˊ,ㄕㄨㄟˋ ㄅㄨˋ ˙ㄓㄜ,睡不著󠇣,U+7761 U+4E0D U+8457 U+E01E3,著:IVS+3,
睡著,ㄕㄨㄟˋ ㄓㄠˊ,ㄕㄨㄟˋ ˙ㄓㄜ,睡著󠇣,U+7761 U+8457 U+E01E3,著:IVS+3,
順應,ㄕㄨㄣˋ ㄧㄥˋ,ㄕㄨㄣˋ ㄧㄥ,順應󠇡,U+9806 U+61C9 U+E01E1,應:IVS+1,
順應民心,ㄕㄨㄣˋ ㄧㄥˋ ㄇㄧㄣˊ ㄒㄧㄣ,ㄕㄨㄣˋ ㄧㄥ ㄇㄧㄣˊ ㄒㄧㄣ,順應󠇡民心,U+9806 U+61C9 U+E01E1 U+6C11 U+5FC3,應:IVS+1,
順應潮流,ㄕㄨㄣˋ ㄧㄥˋ ㄔㄠˊ ㄌㄧㄡˊ,ㄕㄨㄣˋ ㄧㄥ ㄔㄠˊ ㄌㄧㄡˊ,順應󠇡潮流,U+9806 U+61C9 U+E01E1 U+6F6E U+6D41,應:IVS+1,
雙重,ㄕㄨㄤ ㄔㄨㄥˊ,ㄕㄨㄤ ㄓㄨㄥˋ,雙重󠇡,U+96D9 U+91CD U+E01E1,重:IVS+1,
雙重身分,ㄕㄨㄤ ㄔㄨㄥˊ ㄕㄣ ㄈㄣˋ,ㄕㄨㄤ ㄓㄨㄥˋ ㄕㄣ ㄈㄣ,雙重󠇡身分󠇡,U+96D9 U+91CD U+E01E1 U+8EAB U+5206 U+E01E1,重:IVS+1; 分:IVS+1,
雙重人格,ㄕㄨㄤ ㄔㄨㄥˊ ㄖㄣˊ ㄍㄜˊ,ㄕㄨㄤ ㄓㄨㄥˋ ㄖㄣˊ ㄍㄜˊ,雙重󠇡人格,U+96D9 U+91CD U+E01E1 U+4EBA U+683C,重:IVS+1,
日頭,ㄖˋ ˙ㄊㄡ,ㄖˋ ㄊㄡˊ,日頭󠇡,U+65E5 U+982D U+E01E1,頭:IVS+1,
日積月累,ㄖˋ ㄐㄧ ㄩㄝˋ ㄌㄟˇ,ㄖˋ ㄐㄧ ㄩㄝˋ ㄌㄟˋ,日積月累󠇡,U+65E5 U+7A4D U+6708 U+7D2F U+E01E1,累:IVS+1,
日子,ㄖˋ ˙ㄗ,ㄖˋ ㄗˇ,日子󠇡,U+65E5 U+5B50 U+E01E1,子:IVS+1,
日暈,ㄖˋ ㄩㄣˋ,ㄖˋ ㄩㄣ,日暈󠇡,U+65E5 U+6688 U+E01E1,暈:IVS+1,
熱切,ㄖㄜˋ ㄑㄧㄝˋ,ㄖㄜˋ ㄑㄧㄝ,熱切󠇡,U+71B1 U+5207 U+E01E1,切:IVS+1,
