詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
調頭寸,ㄉㄧㄠˋ ㄊㄡˊ ㄘㄨㄣˋ,ㄊㄧㄠˊ ㄊㄡˊ ㄘㄨㄣˋ,調󠇡頭寸,U+8ABF U+E01E1 U+982D U+5BF8,調:IVS+1,
調課,ㄉㄧㄠˋ ㄎㄜˋ,ㄊㄧㄠˊ ㄎㄜˋ,調󠇡課,U+8ABF U+E01E1 U+8AB2,調:IVS+1,
調開,ㄉㄧㄠˋ ㄎㄞ,ㄊㄧㄠˊ ㄎㄞ,調󠇡開,U+8ABF U+E01E1 U+958B,調:IVS+1,
調號,ㄉㄧㄠˋ ㄏㄠˋ,ㄊㄧㄠˊ ㄏㄠˋ,調󠇡號,U+8ABF U+E01E1 U+865F,調:IVS+1,
調虎離山,ㄉㄧㄠˋ ㄏㄨˇ ㄌㄧˊ ㄕㄢ,ㄊㄧㄠˊ ㄏㄨˇ ㄌㄧˊ ㄕㄢ,調󠇡虎離山,U+8ABF U+E01E1 U+864E U+96E2 U+5C71,調:IVS+1,
調換,ㄉㄧㄠˋ ㄏㄨㄢˋ,ㄊㄧㄠˊ ㄏㄨㄢˋ,調󠇡換,U+8ABF U+E01E1 U+63DB,調:IVS+1,
調集,ㄉㄧㄠˋ ㄐㄧˊ,ㄊㄧㄠˊ ㄐㄧˊ,調󠇡集,U+8ABF U+E01E1 U+96C6,調:IVS+1,
調遣,ㄉㄧㄠˋ ㄑㄧㄢˇ,ㄊㄧㄠˊ ㄑㄧㄢˇ,調󠇡遣,U+8ABF U+E01E1 U+9063,調:IVS+1,
調校,ㄉㄧㄠˋ ㄒㄧㄠˋ,ㄊㄧㄠˊ ㄒㄧㄠˋ,調󠇡校,U+8ABF U+E01E1 U+6821,調:IVS+1,
調職,ㄉㄧㄠˋ ㄓˊ,ㄊㄧㄠˊ ㄓˊ,調󠇡職,U+8ABF U+E01E1 U+8077,調:IVS+1,
調駐,ㄉㄧㄠˋ ㄓㄨˋ,ㄊㄧㄠˊ ㄓㄨˋ,調󠇡駐,U+8ABF U+E01E1 U+99D0,調:IVS+1,
調轉,ㄉㄧㄠˋ ㄓㄨㄢˇ,ㄊㄧㄠˊ ㄓㄨㄢˇ,調󠇡轉,U+8ABF U+E01E1 U+8F49,調:IVS+1,
調查,ㄉㄧㄠˋ ㄔㄚˊ,ㄊㄧㄠˊ ㄔㄚˊ,調󠇡查,U+8ABF U+E01E1 U+67E5,調:IVS+1,
調查表,ㄉㄧㄠˋ ㄔㄚˊ ㄅㄧㄠˇ,ㄊㄧㄠˊ ㄔㄚˊ ㄅㄧㄠˇ,調󠇡查表,U+8ABF U+E01E1 U+67E5 U+8868,調:IVS+1,
調查員,ㄉㄧㄠˋ ㄔㄚˊ ㄩㄢˊ,ㄊㄧㄠˊ ㄔㄚˊ ㄩㄢˊ,調󠇡查員,U+8ABF U+E01E1 U+67E5 U+54E1,調:IVS+1,
調車場,ㄉㄧㄠˋ ㄔㄜ ㄔㄤˇ,ㄊㄧㄠˊ ㄔㄜ ㄔㄤˇ,調󠇡車場,U+8ABF U+E01E1 U+8ECA U+5834,調:IVS+1,
調差,ㄉㄧㄠˋ ㄔㄞ,ㄊㄧㄠˊ ㄔㄚ,調󠇡差󠇡,U+8ABF U+E01E1 U+5DEE U+E01E1,調:IVS+1; 差:IVS+1,
調人,ㄉㄧㄠˋ ㄖㄣˊ,ㄊㄧㄠˊ ㄖㄣˊ,調󠇡人,U+8ABF U+E01E1 U+4EBA,調:IVS+1,
調任,ㄉㄧㄠˋ ㄖㄣˋ,ㄊㄧㄠˊ ㄖㄣˋ,調󠇡任,U+8ABF U+E01E1 U+4EFB,調:IVS+1,
調子,ㄉㄧㄠˋ ˙ㄗ,ㄊㄧㄠˊ ㄗˇ,調󠇡子󠇡,U+8ABF U+E01E1 U+5B50 U+E01E1,調:IVS+1; 子:IVS+1,
調閱,ㄉㄧㄠˋ ㄩㄝˋ,ㄊㄧㄠˊ ㄩㄝˋ,調󠇡閱,U+8ABF U+E01E1 U+95B1,調:IVS+1,
調用,ㄉㄧㄠˋ ㄩㄥˋ,ㄊㄧㄠˊ ㄩㄥˋ,調󠇡用,U+8ABF U+E01E1 U+7528,調:IVS+1,
丟三落四,ㄉㄧㄡ ㄙㄢ ㄌㄚˋ ㄙˋ,ㄉㄧㄡ ㄙㄢ ㄌㄨㄛˋ ㄙˋ,丟三落󠇡四,U+4E1F U+4E09 U+843D U+E01E1 U+56DB,落:IVS+1,
顛倒,ㄉㄧㄢ ㄉㄠˇ,ㄉㄧㄢ ㄉㄠˋ,顛倒󠇡,U+985B U+5012 U+E01E1,倒:IVS+1,
顛倒是非,ㄉㄧㄢ ㄉㄠˇ ㄕˋ ㄈㄟ,ㄉㄧㄢ ㄉㄠˋ ㄕˋ ㄈㄟ,顛倒󠇡是非,U+985B U+5012 U+E01E1 U+662F U+975E,倒:IVS+1,
顛顛倒倒,ㄉㄧㄢ ㄉㄧㄢ ㄉㄠˇ ㄉㄠˇ,ㄉㄧㄢ ㄉㄧㄢ ㄉㄠˋ ㄉㄠˋ,顛顛倒󠇡倒󠇡,U+985B U+985B U+5012 U+E01E1 U+5012 U+E01E1,倒:IVS+1; 倒:IVS+1,
顛三倒四,ㄉㄧㄢ ㄙㄢ ㄉㄠˇ ㄙˋ,ㄉㄧㄢ ㄙㄢ ㄉㄠˋ ㄙˋ,顛三倒󠇡四,U+985B U+4E09 U+5012 U+E01E1 U+56DB,倒:IVS+1,
典當,ㄉㄧㄢˇ ㄉㄤˋ,ㄉㄧㄢˇ ㄉㄤ,典當󠇡,U+5178 U+7576 U+E01E1,當:IVS+1,
典獄長,ㄉㄧㄢˇ ㄩˋ ㄓㄤˇ,ㄉㄧㄢˇ ㄩˋ ㄔㄤˊ,典獄長󠇡,U+5178 U+7344 U+9577 U+E01E1,長:IVS+1,
